highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,100,1155.0,1168.0,8440.0,8453.0,13.0,0.8606,4,audio_mel_ncc,19:15,19:28,2:20:40,2:20:53
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,101,1163.0,1181.0,8765.0,8783.0,18.0,0.8897,9,audio_mel_ncc,19:23,19:41,2:26:05,2:26:23
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,102,1173.0,1185.0,4198.0,4210.0,12.0,0.766,3,audio_mel_ncc,19:33,19:45,1:09:58,1:10:10
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,103,1177.0,1190.0,3773.0,3786.0,13.0,0.7146,4,audio_mel_ncc,19:37,19:50,1:02:53,1:03:06
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,104,1193.0,1205.0,5243.0,5255.0,12.0,0.7014,3,audio_mel_ncc,19:53,20:05,1:27:23,1:27:35
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,105,1197.0,1213.0,4184.0,4200.0,16.0,0.7679,7,audio_mel_ncc,19:57,20:13,1:09:44,1:10:00
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,106,1207.0,1219.0,3819.0,3831.0,12.0,0.7297,3,audio_mel_ncc,20:07,20:19,1:03:39,1:03:51
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,107,1214.0,1226.0,7740.0,7752.0,12.0,0.8363,3,audio_mel_ncc,20:14,20:26,2:09:00,2:09:12
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,108,1219.0,1232.0,8397.0,8410.0,13.0,0.8058,4,audio_mel_ncc,20:19,20:32,2:19:57,2:20:10
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,109,1224.0,1237.0,3076.0,3089.0,13.0,0.7646,4,audio_mel_ncc,20:24,20:37,51:16,51:29
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,110,1229.0,1241.0,7742.0,7754.0,12.0,0.7893,3,audio_mel_ncc,20:29,20:41,2:09:02,2:09:14
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,111,1235.0,1247.0,4201.0,4213.0,12.0,0.7836,3,audio_mel_ncc,20:35,20:47,1:10:01,1:10:13
Nimi Hilariously Caused Havoc After Turning Into a Vampire [K0LAOOsc61g].mkv,112,1251.0,1265.0,9184.0,9198.0,14.0,0.7456,5,audio_mel_ncc,20:51,21:05,2:33:04,2:33:18
