highlight_file,segment_idx,highlight_start_s,highlight_end_s,stream_start_s,stream_end_s,duration_s,mean_ncc,n_windows,method,highlight_start_hms,highlight_end_hms,stream_start_hms,stream_end_hms
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,77,984.0,996.0,16561.0,16573.0,12.0,0.5752,3,audio_mel_ncc,16:24,16:36,4:36:01,4:36:13
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,78,1002.0,1014.0,2594.0,2606.0,12.0,0.6611,3,audio_mel_ncc,16:42,16:54,43:14,43:26
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,79,1028.0,1042.0,3588.0,3602.0,14.0,0.7991,5,audio_mel_ncc,17:08,17:22,59:48,1:00:02
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,80,1039.0,1051.0,3555.0,3567.0,12.0,0.7839,3,audio_mel_ncc,17:19,17:31,59:15,59:27
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,81,1044.0,1056.0,9620.0,9632.0,12.0,0.7155,3,audio_mel_ncc,17:24,17:36,2:40:20,2:40:32
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,82,1051.0,1064.0,11820.0,11833.0,13.0,0.6293,4,audio_mel_ncc,17:31,17:44,3:17:00,3:17:13
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,83,1058.0,1070.0,9587.0,9599.0,12.0,0.6309,3,audio_mel_ncc,17:38,17:50,2:39:47,2:39:59
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,84,1063.0,1075.0,2834.0,2846.0,12.0,0.7211,3,audio_mel_ncc,17:43,17:55,47:14,47:26
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,85,1082.0,1098.0,13364.0,13380.0,16.0,0.7416,7,audio_mel_ncc,18:02,18:18,3:42:44,3:43:00
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,86,1092.0,1104.0,9805.0,9817.0,12.0,0.6883,3,audio_mel_ncc,18:12,18:24,2:43:25,2:43:37
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,87,1134.0,1153.0,13576.0,13595.0,19.0,0.8067,10,audio_mel_ncc,18:54,19:13,3:46:16,3:46:35
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,88,1156.0,1168.0,13619.0,13631.0,12.0,0.8476,3,audio_mel_ncc,19:16,19:28,3:46:59,3:47:11
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,89,1159.0,1177.0,13628.0,13646.0,18.0,0.8905,9,audio_mel_ncc,19:19,19:37,3:47:08,3:47:26
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,90,1169.0,1181.0,3672.0,3684.0,12.0,0.8152,3,audio_mel_ncc,19:29,19:41,1:01:12,1:01:24
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,91,1184.0,1196.0,6383.0,6395.0,12.0,0.8277,3,audio_mel_ncc,19:44,19:56,1:46:23,1:46:35
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,92,1188.0,1200.0,9806.0,9818.0,12.0,0.7747,3,audio_mel_ncc,19:48,20:00,2:43:26,2:43:38
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,93,1194.0,1208.0,12110.0,12124.0,14.0,0.7763,5,audio_mel_ncc,19:54,20:08,3:21:50,3:22:04
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,94,1210.0,1222.0,13625.0,13637.0,12.0,0.7936,3,audio_mel_ncc,20:10,20:22,3:47:05,3:47:17
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,95,1216.0,1235.0,15271.0,15290.0,19.0,0.832,10,audio_mel_ncc,20:16,20:35,4:14:31,4:14:50
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,96,1226.0,1238.0,10641.0,10653.0,12.0,0.7106,3,audio_mel_ncc,20:26,20:38,2:57:21,2:57:33
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,97,1240.0,1252.0,7342.0,7354.0,12.0,0.7577,3,audio_mel_ncc,20:40,20:52,2:02:22,2:02:34
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,98,1244.0,1257.0,13257.0,13270.0,13.0,0.7814,4,audio_mel_ncc,20:44,20:57,3:40:57,3:41:10
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,99,1292.0,1304.0,9593.0,9605.0,12.0,0.6749,3,audio_mel_ncc,21:32,21:44,2:39:53,2:40:05
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,100,1313.0,1326.0,15848.0,15861.0,13.0,0.6948,4,audio_mel_ncc,21:53,22:06,4:24:08,4:24:21
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,101,1327.0,1340.0,4710.0,4723.0,13.0,0.7578,4,audio_mel_ncc,22:07,22:20,1:18:30,1:18:43
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,102,1344.0,1356.0,2838.0,2850.0,12.0,0.7048,3,audio_mel_ncc,22:24,22:36,47:18,47:30
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,103,1353.0,1366.0,2833.5,2846.5,13.0,0.7019,4,audio_mel_ncc,22:33,22:46,47:13,47:26
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,104,1362.0,1374.0,2835.0,2847.0,12.0,0.7147,3,audio_mel_ncc,22:42,22:54,47:15,47:27
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,105,1365.0,1377.0,2598.0,2610.0,12.0,0.7635,3,audio_mel_ncc,22:45,22:57,43:18,43:30
Nimi Island Gets a New Resident and It’s Nimi’s Daughter [Bwmg1cpkUGk].mkv,106,1368.0,1380.0,6631.0,6643.0,12.0,0.7906,3,audio_mel_ncc,22:48,23:00,1:50:31,1:50:43
